"Gene(s)","Standard Drug Name","Show Drug Name","PubChemId(s)","Status","Status Description","Therapy","Target","Source(s)","Curated Source(s)","Family(ies)","Cancer(s)","Indirect Gene(s)","Drug response","Best Interaction","DScore","GScore","Gene(s)","Target","Alteration","Status Info","Threrapy","Indirect Gene(s)","Indirect Pathway(s)","Sensitivity","Source(s)","Warning(s)","DScore","GScore"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","KRAS","marker","somatic_variant (according to MOAlmanac)","Molecular alterations in KRAS are associated with response to PEMBROLIZUMAB, a drug approved by FDA","TARGETED_THERAPY","-","-","SENSITIVITY","JAX-CKB|MOAlmanac","-","0.813","0.6732"
"KRAS","ATEZOLIZUMAB","ATEZOLIZUMAB","-","APPROVED","Approved for bladder, breast, liver, lung and skin cancer","TARGETED_THERAPY","marker","JAX-CKB","JAX-CKB","Other","BLADDER|BREAST|LIVER|LUNG|SKIN","-","SENSITIVITY","biomarker","0.812","0.6732","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","KRAS","marker","-","Molecular alterations in KRAS are associated with response to ATEZOLIZUMAB, a drug approved by FDA","TARGETED_THERAPY","-","-","SENSITIVITY","JAX-CKB","-","0.812","0.6732"
"KRAS","BEVACIZUMAB","BEVACIZUMAB","-","APPROVED","Approved for brain, breast, colon, fallopian tube, kidney, liver, lung, ovary, peritoneum, rectum and uterus cancer","TARGETED_THERAPY","marker","JAX-CKB","JAX-CKB","Other","BRAIN|BREAST|COLON|FALLOPIAN_TUBE|KIDNEY|LIVER|LUNG|OVARY|PERITONEUM|RECTUM|UTERUS","-","SENSITIVITY","biomarker","0.812","0.6732","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","KRAS","marker","-","Molecular alterations in KRAS are associated with response to BEVACIZUMAB, a drug approved by FDA","TARGETED_THERAPY","-","-","SENSITIVITY","JAX-CKB","-","0.812","0.6732"
"KRAS","CRIZOTINIB","CRIZOTINIB","11626560","APPROVED","Approved for lung cancer","TARGETED_THERAPY","marker","JAX-CKB","JAX-CKB","ALK tyrosine kinase receptor inhibitor(Cmap)","LUNG","-","SENSITIVITY","biomarker","0.812","0.6732","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","KRAS","marker","-","Molecular alterations in KRAS are associated with response to CRIZOTINIB, a drug approved by FDA","TARGETED_THERAPY","-","-","SENSITIVITY","JAX-CKB","-","0.812","0.6732"
"KRAS","DABRAFENIB","DABRAFENIB","44462760","APPROVED","Approved for lung, skin and thyroid cancer","TARGETED_THERAPY","marker","JAX-CKB|PharmGKB","JAX-CKB","RAF inhibitor(Cmap)","LUNG|SKIN|THYROID","-","SENSITIVITY","biomarker","0.812","0.6732","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","KRAS","marker","-","Molecular alterations in KRAS are associated with response to DABRAFENIB, a drug approved by FDA","TARGETED_THERAPY","-","-","SENSITIVITY","JAX-CKB|PharmGKB","-","0.812","0.6732"
"KRAS","DOXORUBICIN","DOXORUBICIN","31703","APPROVED","Approved for adrenal gland, bladder, blood, blood and lymph vessels, bone, bone marrow, breast, kidney, lung, ovary, soft tissue, stomach and thyroid cancer","CHEMOTHERAPY","marker","JAX-CKB","JAX-CKB","topoisomerase inhibitor(Cmap)","ADRENAL_GLAND|BLADDER|BLOOD|BLOOD_AND_LYMPH_VESSELS|BONE|BONE_MARROW|BREAST|KIDNEY|LUNG|OVARY|SOFT_TISSUE|STOMACH|THYROID","-","SENSITIVITY","biomarker","0.812","0.6732","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","KRAS","marker","-","Molecular alterations in KRAS are associated with response to DOXORUBICIN, a drug approved by FDA","CHEMOTHERAPY","-","-","SENSITIVITY","JAX-CKB","-","0.812","0.6732"
"KRAS","GEMCITABINE","GEMCITABINE","60750","APPROVED","Approved for breast, lung, ovary and pancreas cancer","CHEMOTHERAPY","marker","JAX-CKB","JAX-CKB","ribonucleotide reductase inhibitor(Cmap)","BREAST|LUNG|OVARY|PANCREAS","-","SENSITIVITY","biomarker","0.812","0.6732","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","KRAS","marker","-","Molecular alterations in KRAS are associated with response to GEMCITABINE, a drug approved by FDA","CHEMOTHERAPY","-","-","SENSITIVITY","JAX-CKB","-","0.812","0.6732"
"KRAS","PEMETREXED","PEMETREXED","135410875","APPROVED","Approved for lung cancer","CHEMOTHERAPY","marker","JAX-CKB","JAX-CKB","dihydrofolate reductase inhibitor(Cmap)|thymidylate synthase inhibitor(Cmap)","LUNG","-","SENSITIVITY","biomarker","0.812","0.6732","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","KRAS","marker","-","Molecular alterations in KRAS are associated with response to PEMETREXED, a drug approved by FDA","CHEMOTHERAPY","-","-","SENSITIVITY","JAX-CKB","-","0.812","0.6732"
"KRAS","RAMUCIRUMAB","RAMUCIRUMAB","-","APPROVED","Approved for colon, esophagus, liver, lung, rectum and stomach cancer","TARGETED_THERAPY","marker","JAX-CKB|PharmGKB","JAX-CKB","Other","COLON|ESOPHAGUS|LIVER|LUNG|RECTUM|STOMACH","-","SENSITIVITY","biomarker","0.812","0.6732","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","KRAS","marker","-","Molecular alterations in KRAS are associated with response to RAMUCIRUMAB, a drug approved by FDA","TARGETED_THERAPY","-","-","SENSITIVITY","JAX-CKB|PharmGKB","-","0.812","0.6732"
"MUC16","ETOPOSIDE","ETOPOSIDE","36462","APPROVED","Approved for lung and testis cancer","CHEMOTHERAPY","marker","NCI","NCI","topoisomerase inhibitor(Cmap)","LUNG|TESTIS","-","SENSITIVITY","biomarker","0.812","0.504","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","MUC16","marker","-","Molecular alterations in MUC16 are associated with response to ETOPOSIDE, a drug approved by FDA","CHEMOTHERAPY","-","-","SENSITIVITY","NCI","-","0.812","0.504"
"MUC16","TOPOTECAN","TOPOTECAN","60700","APPROVED","Approved for lung, ovary and uterus cancer","CHEMOTHERAPY","marker","NCI","NCI","topoisomerase inhibitor(Cmap)","LUNG|OVARY|UTERUS","-","SENSITIVITY","biomarker","0.812","0.504","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","MUC16","marker","-","Molecular alterations in MUC16 are associated with response to TOPOTECAN, a drug approved by FDA","CHEMOTHERAPY","-","-","SENSITIVITY","NCI","-","0.812","0.504"
"KRAS","AFATINIB","AFATINIB","10184653","APPROVED","Approved for lung cancer","TARGETED_THERAPY","marker","GDSC|JAX-CKB","JAX-CKB","EGFR inhibitor(Cmap)","LUNG","-","RESISTANCE","biomarker","-0.812","0.6732","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","KRAS","marker","mutation (according to GDSC)","Molecular alterations in KRAS are associated with response to AFATINIB, a drug approved by FDA","TARGETED_THERAPY","-","-","RESISTANCE","GDSC|JAX-CKB","-","-0.812","0.6732"
"KRAS","OSIMERTINIB","MERELETINIB","71496458","APPROVED","Approved for lung cancer","TARGETED_THERAPY","marker","GDSC|JAX-CKB","JAX-CKB","EGFR inhibitor(Cmap)","LUNG","-","RESISTANCE","biomarker","-0.812","0.6732","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","KRAS","marker","mutation (according to GDSC)","Molecular alterations in KRAS are associated with response to MERELETINIB, a drug approved by FDA","TARGETED_THERAPY","-","-","RESISTANCE","GDSC|JAX-CKB","-","-0.812","0.6732"
"KRAS","ERLOTINIB","ERLOTINIB","176870","APPROVED","Approved for lung and pancreas cancer","TARGETED_THERAPY","marker","ClearityFoundationBiomarkers|GDSC|JAX-CKB","ClearityFoundationBiomarkers|JAX-CKB","EGFR inhibitor(Cmap)","LUNG|PANCREAS","-","RESISTANCE","biomarker","-0.813","0.6732","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","KRAS","marker","mutation (according to GDSC)","Molecular alterations in KRAS are associated with response to ERLOTINIB, a drug approved by FDA","TARGETED_THERAPY","-","-","RESISTANCE","ClearityFoundationBiomarkers|GDSC|JAX-CKB","-","-0.813","0.6732"
"KRAS","GEFITINIB","GEFITINIB","123631","APPROVED","Approved for lung cancer","TARGETED_THERAPY","marker","ClearityFoundationBiomarkers|GDSC|JAX-CKB|MOAlmanac","ClearityFoundationBiomarkers|JAX-CKB|MOAlmanac","EGFR inhibitor(Cmap)","LUNG","-","RESISTANCE","biomarker","-0.814","0.6732","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","KRAS","marker","mutation (according to GDSC)|somatic_variant (according to MOAlmanac)","Molecular alterations in KRAS are associated with response to GEFITINIB, a drug approved by FDA","TARGETED_THERAPY","-","-","RESISTANCE","ClearityFoundationBiomarkers|GDSC|JAX-CKB|MOAlmanac","-","-0.814","0.6732"
